Measure Number: 1
E3 106 1 -1
G3 132 1 0
E4 158 1 -1
E4 185 1 -1
G4 211 1 0
E5 237 1 -1
E5 264 1 -1
G5 290 1 0
E6 317 1 -1
G5 343 1 0
E5 369 1 -1
E5 396 1 -1
G4 422 1 0
E4 448 1 -1
E4 475 1 -1
G3 501 1 0
C2 106 1 0
G2 132 1 0
C3 158 1 0
C3 185 1 0
G3 211 1 0
C4 237 1 0
C4 264 1 0
G4 290 1 0
C5 317 1 0
G4 343 1 0
C4 369 1 0
C4 396 1 0
G3 422 1 0
C3 448 1 0
C3 475 1 0
G2 501 1 0
Measure Number: 2
D3 12 1 0
A3 39 1 -1
D4 67 1 0
D4 95 1 0
A4 123 1 -1
D5 151 1 0
D5 179 1 0
A5 207 1 -1
D6 235 1 0
A5 263 1 -1
D5 291 1 0
D5 319 1 0
A4 347 1 -1
D4 375 1 0
D4 403 1 0
A3 431 1 -1
C2 12 1 0
F2 39 1 0
C3 67 1 0
C3 95 1 0
F3 123 1 0
C4 151 1 0
C4 179 1 0
F4 207 1 0
C5 235 1 0
F4 263 1 0
C4 291 1 0
C4 319 1 0
F3 347 1 0
C3 375 1 0
C3 403 1 0
F2 431 1 0
Measure Number: 3
F3 83 1 0
C4 114 1 0
F4 144 1 0
F4 174 1 0
C5 204 1 0
F5 234 1 0
F5 264 1 0
C6 294 1 0
F6 324 1 0
C6 354 1 0
F5 384 1 0
F5 414 1 0
C5 444 1 0
F4 474 1 0
F4 504 1 0
C4 534 1 0
C2 83 1 0
A2 114 1 -1
C3 144 1 0
C3 174 1 0
A3 204 1 -1
C4 234 1 0
C4 264 1 0
A4 294 1 -1
C5 324 1 0
A4 354 1 -1
C4 384 1 0
C4 414 1 0
G3 444 1 0
C3 474 1 0
C3 504 1 0
A2 534 1 -1
Measure Number: 4
E3 12 1 -1
G3 41 1 0
E4 71 1 -1
E4 101 1 -1
G4 130 1 0
E5 160 1 -1
E5 190 1 -1
G5 219 1 0
E6 249 1 -1
G5 279 1 0
E5 308 1 -1
E5 338 1 -1
G4 368 1 0
E4 397 1 -1
E4 427 1 -1
G3 457 1 0
C2 12 1 0
G2 41 1 0
C3 71 1 0
C3 101 1 0
G3 130 1 0
C4 160 1 0
C4 190 1 0
G4 219 1 0
C5 249 1 0
G4 279 1 0
C4 308 1 0
C4 338 1 0
G3 368 1 0
C3 397 1 0
C3 427 1 0
G2 457 1 0
Measure Number: 5
D3 83 1 0
A3 113 1 -1
D4 142 1 0
D4 171 1 0
A4 200 1 -1
D5 230 1 0
D5 259 1 0
A5 288 1 -1
D6 317 1 0
A5 347 1 -1
D5 376 1 0
D5 405 1 0
A4 434 1 -1
D4 464 1 0
D4 493 1 0
A3 522 1 -1
C2 83 1 0
F2 113 1 0
C3 142 1 0
C3 171 1 0
F3 200 1 0
C4 230 1 0
C4 259 1 0
F4 288 1 0
C5 317 1 0
F4 347 1 0
C4 376 1 0
C4 405 1 0
F3 434 1 0
C3 464 1 0
C3 493 1 0
F2 522 1 0
Measure Number: 6
E3 12 1 -1
A3 42 1 -1
E4 73 1 -1
E4 103 1 -1
A4 134 1 -1
E5 164 1 -1
E5 195 1 -1
A5 225 1 -1
E6 256 1 -1
A5 286 1 -1
E5 317 1 -1
E5 347 1 -1
A4 378 1 -1
E4 408 1 -1
E4 439 1 -1
A3 469 1 -1
C2 12 1 0
F2 42 1 0
B2 73 1 0
C3 103 1 0
F3 134 1 0
B3 164 1 0
C4 195 1 0
G4 225 1 0
B4 256 1 0
F4 286 1 0
C4 317 1 0
B3 347 1 0
F3 378 1 0
C3 408 1 0
B2 439 1 0
F2 469 1 0
Measure Number: 7
C3 83 1 0
E3 109 1 -1
C4 134 1 0
C4 159 1 0
E4 184 1 -1
C5 210 1 0
E4 235 1 -1
C4 260 1 0
E4 285 1 -1
B4 316 1 -1
E4 341 1 -1
C4 366 1 0
E4 392 1 -1
A4 417 1 -1
E4 442 1 -1
C4 467 1 0
C5 210 4 0
B4 316 4 -1
A4 417 3 -1
C2 83 1 0
G2 109 1 0
C3 134 1 0
C3 159 1 0
G3 184 1 0
C4 210 1 0
G3 235 1 0
C3 260 1 0
G3 285 1 0
C4 316 1 0
G3 341 1 0
C3 366 1 0
G3 392 1 0
C4 417 1 0
G3 442 1 0
C3 467 1 0
Measure Number: 8
D4 12 1 0
G4 46 1 0
D4 80 1 0
B3 114 1 0
D4 148 1 -1
G4 182 1 0
D4 217 1 -1
B3 251 1 -1
C4 285 1 0
F4 319 1 0
C4 353 1 0
A3 388 1 0
B3 422 1 0
B3 490 1 0
A3 524 1 -1
G4 46 4 0
G4 182 4 0
F4 319 4 0
F4 456 3 0
G3 12 1 0
B3 46 1 0
G3 80 1 0
C3 114 1 0
G3 148 1 0
B3 182 1 -1
G3 217 1 0
C3 251 1 0
F3 285 1 0
A3 319 1 0
F3 353 1 0
C3 388 1 0
F3 422 1 0
A3 456 1 -1
F3 490 1 0
C3 524 1 0
Measure Number: 9
E3 86 1 -1
G3 115 1 0
E4 144 1 -1
E4 174 1 -1
G4 203 1 0
E5 232 1 -1
E5 261 1 -1
G5 290 1 0
E6 320 1 -1
G5 349 1 0
E5 378 1 -1
E5 407 1 -1
G4 436 1 0
E4 466 1 -1
E4 495 1 -1
G3 524 1 0
C2 86 1 0
G2 115 1 0
C3 144 1 0
C3 174 1 0
G3 203 1 0
C4 232 1 0
C4 261 1 0
G4 290 1 0
C5 320 1 0
G4 349 1 0
C4 378 1 0
C4 407 1 0
G3 436 1 0
C3 466 1 0
C3 495 1 0
G2 524 1 0
Measure Number: 10
D3 12 1 0
A3 42 1 -1
D4 72 1 0
D4 103 1 0
A4 133 1 -1
D5 163 1 0
D5 194 1 0
A5 224 1 -1
D6 255 1 0
A5 285 1 -1
D5 315 1 0
D5 346 1 0
A4 376 1 -1
D4 407 1 0
D4 437 1 0
A3 467 1 -1
C2 12 1 0
F2 42 1 0
C3 72 1 0
C3 103 1 0
F3 133 1 0
C4 163 1 0
C4 194 1 0
F4 224 1 0
C5 255 1 0
F4 285 1 0
C4 315 1 0
C4 346 1 0
F3 376 1 0
C3 407 1 0
C3 437 1 0
F2 467 1 0
Measure Number: 11
F3 83 1 0
C4 112 1 0
F4 141 1 0
F4 170 1 0
C5 198 1 0
F5 227 1 0
F5 256 1 0
C6 284 1 0
F6 313 1 0
C6 342 1 0
F5 370 1 0
F5 399 1 0
C5 428 1 0
F4 456 1 0
F4 485 1 0
C4 514 1 0
C2 83 1 0
A2 112 1 -1
C3 141 1 0
C3 170 1 0
A3 198 1 -1
C4 227 1 0
C4 256 1 0
A4 284 1 -1
C5 313 1 0
A4 342 1 -1
C4 370 1 0
C4 399 1 0
A3 428 1 -1
C3 456 1 0
C3 485 1 0
A2 514 1 -1
Measure Number: 12
E3 14 1 0
C4 45 1 0
E4 76 1 0
E4 107 1 0
C5 138 1 0
E5 168 1 0
E5 199 1 0
C6 230 1 0
