Measure Number: 1
G6 151 2 -1
B6 177 2 -1
D6 202 2 -1
G6 228 2 -1
E6 254 2 -1
G6 279 2 -1
D6 305 2 -1
G6 331 2 -1
B5 356 2 -1
D6 382 2 -1
G5 408 2 -1
B5 433 2 -1
G3 151 6 -1
B3 151 6 -1
D4 151 6 -1
G4 151 6 -1
G3 228 6 -1
C4 228 6 -1
E4 228 6 -1
G4 228 6 -1
G3 305 6 -1
B3 305 6 -1
D4 305 6 -1
G4 305 6 -1
rest 6
Measure Number: 2
G5 13 2 -1
B5 37 2 -1
D5 62 2 -1
G5 87 2 -1
E5 112 2 -1
G5 137 2 -1
D5 162 2 -1
G5 187 2 -1
B4 212 2 -1
D5 237 2 -1
G4 262 2 -1
B4 287 2 -1
G2 13 6 -1
G3 13 6 -1
C4 87 6 -1
E4 87 6 -1
G4 87 6 -1
B3 162 6 -1
D4 162 6 -1
G4 162 6 -1
rest 6
Measure Number: 3
D4 16 2 -1
D5 41 2 -1
A4 65 2 -1
D5 90 2 -1
A4 114 2 -1
A5 139 2 -1
A4 164 2 -1
A5 188 2 -1
E5 213 2 -1
A5 238 2 -1
E5 262 2 -1
E6 287 2 -1
D2 16 6 -1
D3 16 6 -1
A3 90 6 -1
D4 90 6 -1
F4 90 6 0
A3 164 6 -1
C4 164 6 -1
E4 164 6 -1
A2 238 6 -1
Measure Number: 4
E5 13 2 -1
E6 38 2 -1
A5 63 2 -1
E6 88 2 -1
A5 114 2 -1
A6 139 2 -1
A5 164 2 -1
A6 190 2 -1
D6 215 2 -1
A6 240 2 -1
D6 266 2 -1
D7 291 2 -1
rest 6
A3 88 6 -1
C4 88 6 -1
E4 88 6 -1
A3 164 6 -1
C4 164 6 -1
D4 176 6 -1
rest 6
D3 13 18 -1
rest 6
Measure Number: 5
G6 129 2 -1
B6 156 2 -1
D6 184 2 -1
G6 211 2 -1
E6 238 2 -1
G6 266 2 -1
D6 293 2 -1
G6 320 2 -1
B5 348 2 -1
D6 375 2 -1
G5 402 2 -1
B5 429 2 -1
G3 129 6 -1
B3 129 6 -1
D4 129 6 -1
G4 129 6 -1
G3 211 6 -1
C4 211 6 -1
E4 211 6 -1
G4 211 6 -1
G3 293 6 -1
B3 293 6 -1
D4 293 6 -1
G4 293 6 -1
rest 6
Measure Number: 6
G5 13 2 -1
B5 39 2 -1
D5 66 2 -1
G5 92 2 -1
E5 119 2 -1
G5 146 2 -1
D5 172 2 -1
G5 199 2 -1
B4 225 2 -1
D5 252 2 -1
G4 279 2 -1
B4 305 2 -1
G2 13 6 -1
G3 13 6 -1
C4 92 6 -1
E4 92 6 -1
G4 92 6 -1
B3 172 6 -1
D4 172 6 -1
G4 172 6 -1
rest 6
Measure Number: 7
E4 13 2 -1
E5 39 2 -1
A4 65 2 -1
E5 91 2 -1
A4 118 2 -1
A5 144 2 -1
E5 170 2 -1
A5 196 2 -1
E5 223 2 -1
E6 249 2 -1
A5 275 2 -1
A6 301 2 -1
C3 13 6 -1
A3 91 12 -1
E4 91 12 -1
C3 249 6 -1
Measure Number: 8
B5 33 2 -1
B6 58 2 -1
B5 83 2 -1
B6 141 2 -1
B5 166 2 -1
B6 191 2 -1
B5 216 2 -1
B6 242 2 -1
B5 267 2 -1
B6 292 2 -1
B5 317 2 -1
B6 342 2 -1
B2 33 6 -1
F3 33 6 0
D4 33 6 0
B3 141 6 -1
F4 141 6 0
D5 141 6 0
rest 12
Measure Number: 9
G6 132 2 -1
B6 158 2 -1
D6 184 2 -1
G6 210 2 -1
E6 237 2 -1
G6 263 2 -1
D6 289 2 -1
G6 315 2 -1
B5 342 2 -1
D6 368 2 -1
G5 394 2 -1
B5 421 2 -1
G3 132 6 -1
B3 132 6 -1
D4 132 6 -1
G4 132 6 -1
G3 210 6 -1
C4 210 6 -1
E4 210 6 -1
G4 210 6 -1
G3 289 6 -1
B3 289 6 -1
D4 289 6 -1
G4 289 6 -1
rest 6
Measure Number: 10
G5 13 2 -1
B5 40 2 -1
D5 68 2 -1
G5 95 2 -1
E5 123 2 -1
G5 151 2 -1
D5 178 2 -1
G5 206 2 -1
B4 233 2 -1
D5 261 2 -1
G4 289 2 -1
B4 316 2 -1
G2 13 6 -1
G3 13 6 -1
C4 95 6 -1
E4 95 6 -1
G4 95 6 -1
B3 178 6 -1
D4 178 6 -1
G4 178 6 -1
