Measure Number: 0
B5 121 6 -1
rest 6
Measure Number: 1
B4 24 6 -1
G5 24 6 0
E6 24 6 -1
B4 66 6 -1
G5 66 6 0
B5 66 6 -1
B4 119 6 -1
G5 107 6 0
A5 119 6 0
B4 161 6 -1
G5 161 6 0
B5 161 6 -1
B4 202 6 -1
G5 202 6 0
C6 202 6 0
B4 243 6 -1
G5 243 6 0
B5 243 6 -1
E2 24 6 -1
E3 66 6 -1
B3 66 6 -1
G4 66 6 0
E3 119 6 -1
B3 119 6 -1
G4 119 6 0
E3 161 6 -1
B3 161 6 -1
G4 161 6 0
E3 202 6 -1
B3 202 6 -1
G4 202 6 0
E3 243 6 -1
B3 243 6 -1
G4 243 6 0
Measure Number: 2
B4 24 6 -1
A5 24 6 -1
F6 24 6 0
B4 75 6 -1
A5 63 6 -1
B5 75 6 -1
B4 142 6 -1
A5 130 6 -1
A5 142 6 0
B4 200 6 -1
A5 188 6 -1
B5 200 6 -1
B4 251 6 -1
A5 251 6 -1
C6 251 6 0
B4 301 6 -1
A5 289 6 -1
B5 301 6 -1
D3 24 6 0
B3 24 6 -1
A4 24 6 -1
D3 75 6 0
B3 75 6 -1
A4 75 6 -1
D3 142 6 0
B3 142 6 -1
A4 142 6 -1
D3 200 6 0
B3 200 6 -1
A4 200 6 -1
D3 251 6 0
B3 251 6 -1
A4 251 6 -1
D3 301 6 0
B3 301 6 -1
A4 301 6 -1
Measure Number: 3
B4 24 6 -1
G5 24 6 0
B5 24 6 -1
G6 24 6 0
B4 65 6 -1
D5 65 6 0
B5 65 6 -1
D6 65 6 0
B4 106 6 -1
E5 106 6 -1
B5 106 6 -1
E6 106 6 -1
B4 148 6 0
E5 148 6 -1
D6 148 6 0
C5 189 6 0
E5 189 6 -1
C6 189 6 0
C5 230 6 0
F5 230 6 0
F6 230 6 0
E3 24 6 -1
B3 24 6 -1
G4 24 6 0
F3 65 6 0
B3 65 6 -1
D4 65 6 0
A4 65 6 -1
G3 106 6 0
B3 106 6 -1
E4 106 6 -1
G4 106 6 0
G2 148 6 0
E3 148 6 -1
B3 148 6 0
A2 189 6 -1
E3 189 6 -1
C4 189 6 0
A2 230 6 0
F3 230 6 0
E4 230 6 -1
Measure Number: 4
B4 24 6 -1
G5 24 6 0
E6 24 6 -1
C5 88 6 0
G5 76 6 -1
A5 88 6 0
E6 88 6 -1
B4 139 6 -1
F5 139 6 0
B5 139 6 -1
D6 139 6 0
B4 193 6 -1
E5 193 6 0
G5 193 6 0
D6 193 6 -1
A4 245 6 -1
F5 245 6 0
A5 245 6 -1
C6 245 6 0
C5 296 6 0
G5 296 6 0
B5 296 6 -1
E6 296 6 0
B2 24 6 -1
G3 24 6 0
E4 24 6 -1
B2 88 6 -1
G3 76 6 -1
A3 88 6 0
E4 88 6 -1
B2 139 6 -1
F3 139 6 0
B3 139 6 -1
D4 139 6 0
C3 193 6 0
G3 193 6 0
B3 193 6 -1
E4 193 6 0
C3 245 6 0
A3 245 6 -1
F4 245 6 0
C3 296 6 0
G3 296 6 0
C4 296 6 0
G4 296 6 0
Measure Number: 5
C5 102 6 0
A5 102 6 -1
F6 102 6 0
C5 149 6 0
A5 149 6 -1
C6 149 6 0
B4 206 6 0
A5 194 6 -1
B5 206 6 0
C5 253 6 0
A5 253 6 -1
C6 253 6 0
D5 299 6 -1
A5 299 6 -1
D6 299 6 -1
C5 346 6 0
A5 346 6 -1
C6 346 6 0
F2 102 6 0
F3 149 6 0
C4 149 6 0
A4 149 6 -1
F3 206 6 0
C4 206 6 0
A4 206 6 -1
F3 253 6 0
C4 253 6 0
A4 253 6 -1
F3 299 6 0
C4 299 6 0
A4 299 6 -1
F3 346 6 0
C4 346 6 0
A4 346 6 -1
Measure Number: 6
C5 36 6 0
G5 36 6 0
B5 36 6 -1
G6 36 6 0
C5 92 6 0
G5 92 6 0
B5 80 6 -1
C6 92 6 0
B4 159 6 0
G5 159 6 0
B5 147 6 -1
B5 159 6 0
C5 215 6 0
G5 215 6 0
B5 203 6 -1
C6 215 6 0
D5 271 6 -1
G5 271 6 0
B5 271 6 -1
D6 271 6 -1
C5 327 6 0
G5 327 6 0
B5 315 6 -1
C6 327 6 0
E3 36 6 0
B3 24 6 -1
C4 36 6 0
G4 36 6 0
E3 92 6 0
B3 80 6 -1
C4 92 6 0
G4 92 6 0
E3 159 6 0
B3 147 6 -1
C4 159 6 0
G4 159 6 0
E3 215 6 0
B3 203 6 -1
C4 215 6 0
G4 215 6 0
E3 271 6 0
B3 259 6 -1
C4 271 6 0
G4 271 6 0
E3 327 6 0
B3 315 6 -1
C4 327 6 0
G4 327 6 0
Measure Number: 7
C5 24 6 0
A5 24 6 -1
C6 24 6 0
A6 24 6 -1
E5 104 6 -1
B5 104 6 -1
E6 104 6 -1
G6 104 6 0
F5 150 6 0
C6 150 6 0
E6 138 6 -1
F6 150 6 0
E5 208 6 -1
C6 208 6 -1
E6 196 6 -1
F6 208 6 0
D5 253 6 0
B5 253 6 -1
F6 253 6 0
D5 299 6 0
A5 299 6 -1
G6 299 6 0
F3 24 6 0
A3 24 6 -1
C4 24 6 0
A4 24 6 -1
G3 104 6 0
B3 104 6 -1
E4 104 6 -1
B4 104 6 -1
A3 150 6 -1
E4 150 6 -1
C5 150 6 0
A3 208 6 -1
F4 208 6 0
C5 208 6 -1
B3 253 6 -1
F4 253 6 0
B4 253 6 -1
B3 299 6 -1
F4 299 6 0
A4 299 6 -1
Measure Number: 8
E5 24 6 -1
G5 24 6 0
E6 24 6 -1
E5 77 6 -1
G5 77 6 -1
E6 77 6 -1
D5 129 6 0
F5 129 6 0
D6 129 6 0
B4 211 6 -1
G5 211 6 0
D6 211 6 -1
A4 263 6 -1
A5 263 6 -1
C6 263 6 0
A4 319 6 -1
F5 319 6 0
D6 319 6 0
E4 24 6 -1
G4 24 6 0
A3 77 6 0
G4 77 6 -1
C5 77 6 0
B3 129 6 -1
F4 129 6 0
B4 129 6 -1
E3 211 6 0
D4 211 6 -1
G4 211 6 0
F3 263 6 0
C4 263 6 0
F4 263 6 0
B2 319 6 -1
F3 319 6 0
A3 319 6 -1
D4 319 6 0
Measure Number: 9
G4 102 6 0
E5 102 6 -1
E6 102 6 -1
B4 151 6 -1
E5 151 6 -1
B5 151 6 -1
B4 200 6 -1
E5 200 6 -1
A5 200 6 0
B4 249 6 -1
E5 249 6 -1
B5 249 6 -1
B4 298 6 -1
E5 298 6 -1
C6 298 6 0
B4 347 6 -1
E5 347 6 -1
B5 347 6 -1
E2 102 6 -1
E3 151 6 -1
B3 151 6 -1
G4 151 6 0
E3 200 6 -1
B3 200 6 -1
G4 200 6 0
E3 249 6 -1
B3 249 6 -1
G4 249 6 0
E3 298 6 -1
B3 298 6 -1
G4 298 6 0
E3 347 6 -1
B3 347 6 -1
G4 347 6 0
Measure Number: 10
B4 24 6 -1
A5 24 6 -1
F6 24 6 0
B4 84 6 -1
A5 73 6 -1
B5 84 6 -1
B4 152 6 -1
A5 140 6 -1
A5 152 6 0
B4 212 6 -1
A5 200 6 -1
B5 212 6 -1
B4 272 6 -1
A5 272 6 -1
C6 272 6 0
B4 333 6 -1
A5 321 6 -1
B5 333 6 -1
D3 24 6 0
B3 24 6 -1
A4 24 6 -1
D3 84 6 0
B3 84 6 -1
A4 84 6 -1
D3 152 6 0
B3 152 6 -1
A4 152 6 -1
D3 212 6 0
B3 212 6 -1
A4 212 6 -1
D3 272 6 0
B3 272 6 -1
A4 272 6 -1
D3 333 6 0
B3 333 6 -1
