Measure Number: 1
E4 80 480 0
E4 133 360 0
E4 181 120 0
E4 205 480 0
F4 258 480 0
rest 1920
Measure Number: 2
E4 12 480 0
C4 65 480 0
E4 119 960 0
rest 1920
Measure Number: 3
G3 15 480 0
C4 15 480 0
E4 15 480 0
G3 73 360 0
C4 73 360 0
E4 73 360 0
G3 125 120 0
C4 125 120 0
E4 125 120 0
G3 151 480 0
C4 151 480 0
E4 151 480 0
A3 210 480 0
C4 210 480 0
F4 210 480 0
C3 15 480 0
C3 73 360 0
C3 125 120 0
C3 151 480 0
F2 210 480 0
Measure Number: 4
G3 15 480 0
C4 15 480 0
E4 15 480 0
A3 75 480 0
C4 75 480 0
E4 135 960 0
rest 960
G3 136 480 0
C4 136 480 0
G3 196 480 1
D4 196 480 0
C2 15 480 0
F2 75 480 0
C2 136 480 0
B1 196 480 0
Measure Number: 5
F7 60 80 0
C7 101 80 0
E7 142 80 0
A6 183 80 0
D7 224 80 1
C7 265 80 0
D7 306 80 0
A6 347 80 0
C7 388 80 1
A6 429 80 0
C7 470 80 0
E6 521 80 0
B6 562 80 0
E6 603 80 0
B6 644 80 -1
C6 685 80 0
A6 726 80 0
E6 767 80 0
G6 808 80 1
C6 849 80 0
G6 890 80 0
C6 930 80 0
F6 971 80 1
A5 1012 80 0
A1 60 480 0
A3 306 360 0
C4 306 360 0
E4 306 360 0
A3 495 120 0
C4 495 120 0
E4 495 120 0
A3 562 480 0
C4 562 480 0
E4 562 480 0
A3 808 480 0
C4 808 480 0
F4 808 480 0
Measure Number: 6
F6 60 80 0
C6 102 80 0
E6 143 80 0
A5 185 80 0
D6 226 80 1
C6 267 80 0
D6 309 80 0
A5 350 80 0
C6 391 80 1
A5 433 80 0
C6 474 80 0
E5 515 80 0
B5 557 80 0
E5 598 80 0
B5 640 80 -1
C5 681 80 0
A5 722 80 0
E5 764 80 0
G5 805 80 1
C5 846 80 0
G5 888 80 0
C5 929 80 0
F5 971 80 1
A4 1012 80 0
A3 60 480 0
C4 60 480 0
E4 60 480 0
E3 309 480 0
A3 309 480 0
C4 309 480 0
A3 557 960 0
C4 557 960 0
E4 557 960 0
Measure Number: 7
F5 66 80 0
C5 107 80 0
E5 148 80 0
A4 188 80 0
D5 229 80 1
C5 270 80 0
D5 311 80 0
A4 351 80 0
C5 392 80 1
A4 433 80 0
C5 473 80 0
E4 524 80 0
B4 565 80 0
E4 606 80 0
B4 646 80 -1
C4 687 80 0
A4 728 80 0
E4 768 80 0
G4 809 80 1
C4 850 80 0
G4 891 80 0
C4 931 80 0
F4 972 80 1
A3 1013 80 0
A1 66 480 0
A2 311 360 0
E3 311 360 0
A2 499 120 0
E3 499 120 0
A2 565 480 0
E3 565 480 0
A2 809 480 0
F3 809 480 0
Measure Number: 8
F4 58 80 0
C4 74 80 0
E4 90 80 0
A3 106 80 0
D4 138 80 1
C4 157 80 0
D4 206 80 0
A3 222 80 0
C4 255 80 1
A3 271 80 0
C4 299 80 0
E3 315 80 0
B3 332 80 0
E3 348 80 0
B3 376 80 -1
C3 392 80 0
A3 408 80 0
E3 424 80 0
G3 455 80 1
C3 471 80 0
A3 487 80 0
E3 503 80 0
C4 519 80 0
F3 535 80 0
A2 58 480 0
E3 58 480 0
A1 206 480 0
E2 331 960 0
rest 480
A1 222 1440 0
Measure Number: 9
E4 20 80 0
B3 37 80 0
D4 55 80 0
F4 72 80 0
E5 89 80 0
B4 105 80 0
D5 122 80 0
F5 138 80 0
E6 155 80 0
B5 177 80 0
D6 200 80 0
F5 230 80 0
D6 247 80 0
A5 269 80 0
C6 291 80 0
F5 308 80 0
D5 325 80 0
A4 341 80 0
C5 358 80 0
F4 375 80 0
D4 391 80 0
A3 410 80 0
C4 432 80 0
F3 455 80 0
G1 20 480 1
F3 122 360 0
D4 122 360 0
F3 215 120 0
D4 215 120 0
F3 247 480 0
C4 247 480 0
A1 358 480 0
A2 358 480 0
Measure Number: 10
E4 73 80 0
B3 114 80 0
D4 155 80 0
F4 196 80 0
E5 236 80 0
B4 277 80 0
D5 318 80 0
F5 359 80 0
E6 400 80 0
B5 441 80 0
D6 482 80 0
F5 522 80 0
D6 563 80 0
A5 604 80 0
C6 645 80 0
F5 686 80 0
D5 727 80 0
A4 767 80 0
C5 808 80 0
F4 849 80 0
D4 890 80 0
A3 931 80 0
C4 972 80 0
B3 1012 80 0
G1 73 480 1
G2 73 480 1
G3 318 160 0
D4 318 160 0
F3 400 160 0
D4 400 160 0
E3 482 160 0
D4 482 160 0
E3 563 480 0
C4 563 480 0
A1 808 480 0
A2 808 480 0
Measure Number: 11
A4 58 80 0
E4 76 80 0
G4 107 80 1
B4 125 80 0
A5 143 80 0
E5 161 80 0
G5 215 80 1
B5 233 80 0
A6 256 80 0
E6 278 80 0
