Measure Number: 0
G4 149 4 -1
rest 4
Measure Number: 1
G4 13 12 -1
G4 203 8 -1
F4 330 2 0
E4 362 2 -1
B3 13 2 -1
C4 44 2 -1
A3 76 2 0
C4 108 2 -1
B3 139 2 -1
G3 171 2 -1
B3 203 2 -1
C4 235 2 -1
A3 266 2 0
C4 298 2 -1
B3 330 2 -1
E4 362 2 -1
E3 13 24 -1
Measure Number: 2
B4 16 12 -1
A4 221 12 -1
E4 16 16 -1
E4 290 6 -1
F4 392 2 0
C4 16 2 -1
D4 50 2 -1
B3 84 2 -1
D4 119 2 -1
C4 153 2 -1
A3 187 2 -1
C4 221 2 -1
D4 256 2 -1
B3 290 2 -1
D4 324 2 -1
C4 358 2 -1
A3 392 2 -1
F3 16 24 0
Measure Number: 3
C5 18 12 -1
C5 199 8 -1
B4 320 2 -1
F4 351 2 0
F4 18 24 0
A3 18 2 -1
B3 48 2 -1
G3 78 2 0
B3 108 2 -1
A3 139 2 -1
F3 169 2 0
A3 199 2 -1
B3 229 2 -1
G3 260 2 0
B3 290 2 -1
A3 320 2 -1
F4 351 2 0
D3 18 24 0
Measure Number: 4
B4 149 24 -1
F4 149 16 -1
F4 346 6 -1
E4 416 2 -1
G3 149 2 0
A3 173 2 -1
F3 202 2 1
A3 226 2 -1
G3 249 2 0
E3 276 2 0
G3 299 2 0
A3 322 2 -1
F3 346 2 1
A3 369 2 -1
G3 393 2 0
E4 416 2 -1
D3 149 24 -1
G3 393 4 0
Measure Number: 5
E5 19 12 -1
E5 177 4 -1
D5 227 2 -1
C5 252 2 -1
A4 276 2 -1
E4 301 2 -1
E4 19 24 -1
G3 19 2 0
A3 44 2 -1
F3 73 2 1
A3 98 2 -1
G3 124 2 0
E3 152 2 -1
A3 177 2 -1
B3 202 2 -1
G3 227 2 0
B3 252 2 -1
A3 276 2 -1
E4 301 2 -1
C3 19 24 -1
A3 276 4 -1
Measure Number: 6
G4 28 8 -1
G4 128 2 -1
F4 153 2 0
E4 181 12 -1
D4 28 12 0
E4 181 12 -1
A3 28 2 -1
B3 53 2 -1
G3 79 2 0
B3 104 2 -1
A3 128 2 -1
F3 153 2 0
G3 181 2 -1
A3 205 2 -1
F3 230 2 0
A3 255 2 -1
G3 279 2 -1
E3 304 2 -1
B2 28 12 -1
C3 181 12 -1
Measure Number: 7
C4 19 12 -1
F4 19 12 -1
C4 198 12 0
E4 198 12 -1
A3 19 2 -1
B3 49 2 -1
G3 79 2 0
B3 109 2 -1
A3 139 2 -1
F3 168 2 -1
G3 198 2 -1
A3 235 2 -1
F3 265 2 0
A3 295 2 -1
G3 325 2 -1
C4 355 2 -1
A2 19 12 -1
A2 198 12 0
G3 325 4 -1
Measure Number: 8
E4 120 0 -1
B3 154 12 -1
D4 154 12 0
C4 330 4 -1
E4 330 4 -1
C4 393 4 0
E4 393 4 0
F4 460 4 0
D4 460 2 -1
D4 491 2 0
F3 154 2 0
G3 183 2 -1
E3 213 2 0
G3 242 2 -1
F3 271 2 0
A3 300 2 -1
G3 330 2 -1
B3 364 2 -2
G3 393 2 0
B3 431 2 -1
A3 460 2 -1
C4 491 2 -1
B2 154 24 -1
Measure Number: 9
G4 13 12 -1
G4 164 8 -1
F4 264 2 0
E4 288 2 -1
E4 13 12 -1
B3 13 2 -1
C4 37 2 -1
A3 65 2 0
C4 90 2 -1
B3 115 2 -1
G3 140 2 -1
B3 164 2 -1
C4 189 2 -1
A3 214 2 0
C4 239 2 -1
B3 264 2 -1
E4 288 2 -1
E3 13 24 -1
Measure Number: 10
B4 16 12 -1
A4 183 12 -1
E4 16 16 -1
E4 239 6 -1
F4 321 2 0
C4 16 2 -1
D4 44 2 -1
B3 71 2 -1
D4 99 2 -1
C4 127 2 -1
A3 156 2 -1
C4 183 2 -1
D4 211 2 -1
B3 239 2 -1
D4 266 2 -1
C4 294 2 -1
A3 321 2 -1
F3 16 24 0
Measure Number: 11
C5 18 12 -1
C5 160 8 -1
B4 253 2 -1
F4 276 2 0
F4 18 24 0
A3 18 2 -1
B3 42 2 -1
G3 68 2 0
B3 91 2 -1
A3 114 2 -1
F3 137 2 0
A3 160 2 -1
B3 183 2 -1
G3 207 2 0
B3 230 2 -1
A3 253 2 -1
F4 276 2 0
D3 18 24 0
Measure Number: 12
B4 149 24 -1
F4 149 16 -1
F4 348 6 -1
E4 420 2 -1
G3 149 2 0
A3 173 2 -1
F3 202 2 1
A3 226 2 -1
G3 250 2 0
E3 276 2 0
G3 300 2 0
A3 324 2 -1
F3 348 2 1
A3 372 2 -1
G3 396 2 0
E4 420 2 -1
D3 149 24 -1
G3 396 4 0
Measure Number: 13
E5 19 12 -1
E5 179 4 -1
D5 229 2 -1
C5 254 2 -1
A4 280 2 -1
E4 305 2 -1
E4 19 24 -1
G3 19 2 0
A3 44 2 -1
F3 74 2 1
A3 99 2 -1
G3 125 2 0
E3 153 2 -1
A3 179 2 -1
B3 204 2 -1
G3 229 2 0
B3 254 2 -1
A3 280 2 -1
E4 305 2 -1
C3 19 24 -1
A3 280 4 -1
Measure Number: 14
G4 28 8 -1
G4 130 2 -1
F4 155 2 0
E4 182 12 -1
D4 28 12 0
E4 182 12 -1
A3 28 2 -1
B3 53 2 -1
G3 79 2 0
B3 105 2 -1
A3 130 2 -1
F3 155 2 0
G3 182 2 -1
A3 208 2 -1
F3 233 2 0
A3 258 2 -1
G3 283 2 -1
E3 308 2 -1
B2 28 12 -1
C3 182 12 -1
Measure Number: 15
C4 19 12 -1
F4 19 12 -1
D4 193 8 0
D4 316 2 0
E4 345 2 -1
A3 193 12 -1
A3 19 2 -1
B3 48 2 -1
G3 78 2 0
B3 106 2 -1
A3 135 2 -1
F3 164 2 -1
F3 193 2 0
G3 230 2 -1
E3 258 2 0
G3 287 2 -1
F3 316 2 0
B2 345 2 -1
A2 19 12 -1
B2 193 12 -1
Measure Number: 16
G3 132 12 -1
E4 132 12 -1
rest 8
rest 4
B2 132 2 -1
C3 166 2 -1
A2 199 2 0
C3 233 2 -1
B2 266 2 -1
G2 299 2 -1
E2 333 2 -1
F2 366 2 0
D2 399 2 0
F2 433 2 0
E2 466 2 -1
C2 500 2 0
E2 132 8 -1
Measure Number: 17
E4 16 12 -1
F4 28 12 0
D4 252 8 0
F4 252 8 0
D4 409 4 -1
G4 409 4 0
B3 16 2 -1
C4 55 2 -1
A3 95 2 0
C4 134 2 -1
B3 173 2 -1
F3 212 2 0
B3 252 2 -1
C4 291 2 -1
A3 330 2 0
C4 370 2 -1
B3 409 2 -1
F3 448 2 0
B1 16 12 -1
B2 16 12 -1
B2 252 12 -1
Measure Number: 18
A3 36 12 -1
C4 36 12 0
G4 36 12 0
A4 48 12 -1
A3 254 12 -1
D4 254 12 0
F4 254 12 0
A4 254 12 -1
F3 36 2 0
G3 72 2 0
E3 109 2 0
G3 145 2 0
F3 181 2 0
C3 218 2 0
B2 254 2 0
C3 290 2 0
A2 327 2 1
C3 363 2 0
B2 399 2 0
B1 436 2 0
F2 36 12 0
Measure Number: 19
F4 147 12 0
G4 159 12 0
E4 381 8 0
G4 381 8 0
E4 529 4 -1
A4 529 4 0
D4 147 2 0
E4 196 2 -1
C4 233 2 1
E4 270 2 -1
D4 307 2 0
G3 344 2 0
C4 381 2 0
D4 418 2 0
B3 455 2 0
D4 492 2 0
C4 529 2 0
G3 566 2 0
C2 147 12 0
C3 381 12 0
Measure Number: 20
B3 36 12 -1
D4 36 12 0
A4 36 12 0
B4 48 12 -1
B3 240 8 -1
E4 240 8 0
G4 240 8 0
B4 240 8 -1
A3 375 4 1
E4 375 4 0
A4 375 4 1
G3 36 2 0
A3 71 2 0
F3 105 2 1
A3 139 2 0
G3 172 2 0
D3 206 2 0
C3 240 2 1
D3 273 2 0
B2 307 2 1
D3 341 2 0
C3 375 2 1
F2 408 2 2
G2 36 12 0
Measure Number: 21
B4 118 12 0
A4 280 8 0
G4 388 4 1
B3 118 2 0
E4 118 2 0
F4 145 2 1
D4 172 2 1
F4 199 2 1
E4 226 2 0
B3 253 2 0
E4 280 2 0
F4 307 2 1
D4 334 2 1
F4 361 2 1
E4 388 2 0
B3 415 2 0
G2 118 12 1
C2 280 12 1
C3 280 12 1
Measure Number: 22
E4 114 12 0
G4 114 12 1
E4 271 8 0
F4 283 8 1
rest 4
C4 114 2 1
D4 139 2 1
B3 172 2 1
D4 197 2 1
C4 222 2 1
A3 247 2 0
C4 271 2 1
D4 298 2 1
B3 323 2 1
D4 348 2 1
C4 373 2 1
F3 398 2 1
F1 114 12 1
F2 114 12 1
G1 271 8 1
G2 271 8 1
A1 373 4 0
A2 373 4 0
Measure Number: 23
E4 16 12 0
