Measure Number: 0
G4 81 4 0
rest 4
Measure Number: 1
E4 16 2 0
G4 16 2 0
E4 51 2 0
C5 51 2 0
F4 86 2 0
A4 86 2 -1
F4 121 2 0
D5 121 2 0
D4 156 2 0
F4 156 2 0
D4 191 2 0
B4 191 2 0
B3 225 2 0
D4 225 2 0
B3 260 2 0
G4 260 2 0
C4 295 2 0
E4 295 2 -1
C4 330 2 0
A4 330 2 0
D4 365 2 0
A4 365 2 -1
D4 400 2 0
B4 400 2 0
C2 16 4 0
C3 16 4 0
rest 4
A3 156 4 -1
G3 225 4 0
F3 295 4 1
F3 365 4 0
Measure Number: 2
E4 18 2 0
G4 18 2 0
E4 52 2 0
C5 52 2 0
F4 87 2 0
A4 87 2 -1
F4 122 2 0
D5 122 2 0
D4 157 2 0
F4 157 2 0
D4 192 2 0
B4 192 2 0
B3 227 2 0
D4 227 2 0
B3 262 2 0
G4 262 2 0
C4 297 2 0
E4 297 2 -1
C4 332 2 0
A4 332 2 0
D4 367 2 0
A4 367 2 -1
D4 401 2 0
B4 401 2 0
C2 18 4 0
A3 157 4 -1
G3 227 4 0
F3 297 4 1
F3 367 4 0
C3 87 16 0
Measure Number: 3
E4 18 2 0
G4 18 2 0
E4 49 2 0
C5 49 2 0
F4 81 2 0
B4 81 2 0
F4 112 2 0
D5 112 2 0
G4 144 2 0
B4 144 2 -1
G4 175 2 0
E5 175 2 0
B4 207 2 -1
E5 207 2 0
B4 238 2 -1
G5 238 2 0
A4 270 2 0
D5 270 2 0
A4 302 2 0
F5 302 2 0
G4 333 2 0
A4 345 2 0
G4 365 2 0
E5 365 2 0
E3 18 4 0
D3 81 4 0
C3 144 4 1
C3 207 4 1
C4 207 4 1
D3 270 4 0
D4 270 4 0
E3 333 4 0
C4 333 4 1
Measure Number: 4
G4 77 2 0
A4 89 2 0
G4 118 2 0
E5 118 2 0
F4 160 2 0
A4 160 2 0
F4 201 2 0
D5 201 2 0
E4 243 2 -1
A4 243 2 0
E4 284 2 -1
C5 284 2 0
E4 326 2 0
G4 326 2 0
E4 367 2 0
C5 367 2 0
E4 409 2 -1
F4 421 2 1
E4 450 2 -1
C5 450 2 0
D4 492 2 0
F4 492 2 0
D4 533 2 0
B4 533 2 0
E3 77 4 0
C4 77 4 1
F3 160 4 0
D4 160 4 0
F3 243 4 1
G3 326 4 0
G2 409 4 0
G3 492 4 0
G3 326 8 0
G2 409 8 0
Measure Number: 5
E4 13 2 0
G4 13 2 0
E4 49 2 0
C5 49 2 0
F4 86 2 0
A4 86 2 -1
F4 123 2 0
D5 123 2 0
D4 160 2 0
F4 160 2 0
D4 197 2 0
B4 197 2 0
B3 234 2 0
D4 234 2 0
B3 271 2 0
G4 271 2 0
C4 308 2 0
E4 308 2 -1
C4 345 2 0
A4 345 2 0
D4 382 2 0
A4 382 2 -1
D4 419 2 0
B4 419 2 0
rest 4
A3 86 8 -1
G3 234 4 0
F3 308 4 1
F3 382 4 0
C3 13 24 0
Measure Number: 6
E4 18 2 0
G4 18 2 0
E4 55 2 0
C5 55 2 0
F4 92 2 0
A4 92 2 -1
F4 129 2 0
D5 129 2 0
D4 166 2 0
F4 166 2 0
D4 203 2 0
B4 203 2 0
B3 240 2 0
D4 240 2 0
B3 276 2 0
G4 276 2 0
C4 313 2 0
E4 313 2 -1
C4 350 2 0
A4 350 2 0
D4 387 2 0
A4 387 2 -1
D4 424 2 0
B4 424 2 0
C2 18 4 0
A3 166 4 -1
G3 240 4 0
F3 313 4 1
F3 387 4 0
C3 92 16 0
Measure Number: 7
E4 69 2 0
G4 69 2 0
E4 109 2 0
C5 109 2 0
G4 148 2 0
A4 160 2 1
G4 188 2 0
E5 188 2 0
G4 228 2 0
B4 228 2 0
G4 267 2 0
E5 267 2 0
G4 307 2 0
C5 307 2 1
G4 347 2 0
E5 347 2 0
B4 386 2 0
E5 386 2 0
B4 426 2 0
G5 426 2 0
A4 453 2 0
B4 465 2 0
A4 505 2 0
F5 505 2 1
E3 69 4 0
C3 148 4 0
B2 228 4 0
A2 307 4 1
B2 386 4 0
B3 465 4 0
B2 386 8 0
Measure Number: 8
G4 13 2 0
B4 13 2 0
G4 49 2 0
E5 49 2 0
B4 86 2 0
E5 86 2 0
B4 123 2 0
G5 123 2 0
E5 160 2 0
G5 160 2 0
E5 196 2 0
B5 196 2 0
G5 245 2 0
B5 245 2 0
G5 282 2 0
E6 282 2 0
F5 318 2 0
A5 318 2 0
F5 355 2 0
D6 355 2 0
F5 380 2 0
G5 392 2 0
F5 429 2 0
B5 429 2 0
E3 13 4 0
rest 4
rest 4
E4 245 4 0
F4 318 4 0
G4 392 4 0
Measure Number: 9
E5 16 2 0
G5 16 2 0
E5 54 2 0
C6 54 2 0
F5 93 2 0
A5 93 2 -1
F5 131 2 0
D6 131 2 0
D5 170 2 0
F5 170 2 0
D5 208 2 0
B5 208 2 0
B4 247 2 0
D5 247 2 0
B4 285 2 0
G5 285 2 0
C5 323 2 0
E5 323 2 -1
C5 362 2 0
A5 362 2 0
D5 400 2 0
A5 400 2 -1
D5 439 2 0
B5 439 2 0
C4 16 4 0
A4 93 8 -1
G4 247 4 0
F4 323 4 1
F4 400 4 0
Measure Number: 10
E5 69 2 0
G5 69 2 0
E5 105 2 0
C6 105 2 0
F5 141 2 0
A5 141 2 -1
F5 177 2 0
D6 177 2 0
D5 234 2 0
F5 234 2 0
D5 270 2 0
B5 270 2 0
B4 306 2 0
D5 306 2 0
B4 342 2 0
G5 342 2 0
C5 378 2 0
E5 378 2 -1
C5 414 2 0
A5 414 2 0
D5 450 2 0
A5 450 2 -1
D5 486 2 0
B5 486 2 0
C3 69 4 0
A4 234 4 -1
G4 306 4 0
F4 378 4 1
F4 450 4 0
C4 141 16 0
Measure Number: 11
E5 18 2 0
G5 18 2 0
E5 55 2 0
C6 55 2 0
F5 92 2 0
B5 92 2 0
F5 130 2 0
D6 130 2 0
G5 167 2 0
B5 167 2 -1
G5 205 2 0
E6 205 2 0
B5 242 2 -1
E6 242 2 0
B5 280 2 -1
G6 280 2 0
A5 317 2 0
D6 317 2 0
A5 355 2 0
F6 355 2 0
G5 380 2 0
A5 392 2 0
G5 430 2 0
E6 430 2 0
E4 18 4 0
D4 92 4 0
C4 167 4 1
C4 242 4 1
G4 242 4 0
B4 242 4 -1
C5 254 4 1
D4 317 4 0
F4 317 4 0
A4 317 4 0
D5 317 4 0
E4 392 4 0
G4 392 4 0
A4 404 4 0
C5 392 4 1
Measure Number: 12
G5 9 2 0
A5 20 2 0
G5 59 2 0
E6 59 2 0
F5 98 2 0
A5 98 2 0
F5 136 2 0
D6 136 2 0
E5 175 2 -1
A5 175 2 0
E5 213 2 -1
C6 213 2 0
E5 252 2 0
G5 252 2 0
E5 290 2 0
C6 290 2 0
E5 331 2 -1
F5 343 2 1
E5 382 2 -1
C6 382 2 0
D5 420 2 0
F5 420 2 0
D5 459 2 0
B5 459 2 0
E4 20 4 0
G4 20 4 0
A4 32 4 0
C5 20 4 1
F4 98 4 0
A4 98 4 0
D5 98 4 0
F4 175 4 1
A4 175 4 0
G4 252 4 0
G3 343 4 0
G4 420 4 0
Measure Number: 13
E5 80 2 0
G5 80 2 0
E5 116 2 0
C6 116 2 0
F5 152 2 0
A5 152 2 -1
F5 188 2 0
D6 188 2 0
D5 224 2 0
F5 224 2 0
D5 260 2 0
B5 260 2 0
B4 296 2 0
D5 296 2 0
B4 331 2 0
G5 331 2 0
C5 367 2 0
E5 367 2 -1
C5 403 2 0
A5 403 2 0
D5 439 2 0
A5 439 2 -1
D5 475 2 0
B5 475 2 0
rest 4
A4 152 8 -1
G4 296 4 0
F4 367 4 1
F4 439 4 0
C3 61 0 0
C4 80 24 0
Measure Number: 14
E5 18 2 0
G5 18 2 0
E5 53 2 0
C6 53 2 0
F5 89 2 0
A5 89 2 -1
F5 124 2 0
D6 124 2 0
D5 180 2 0
F5 180 2 0
D5 216 2 0
B5 216 2 0
B4 252 2 0
D5 252 2 0
B4 287 2 0
G5 287 2 0
C5 323 2 0
E5 323 2 -1
C5 358 2 0
A5 358 2 0
D5 394 2 0
A5 394 2 -1
D5 430 2 0
B5 430 2 0
C3 18 4 0
A4 180 4 -1
G4 252 4 0
F4 323 4 1
F4 394 4 0
C4 89 16 0
Measure Number: 15
E5 18 2 0
G5 18 2 0
E5 56 2 0
C6 56 2 0
G5 87 2 0
A5 99 2 1
G5 138 2 0
E6 138 2 0
G5 177 2 0
B5 177 2 0
G5 216 2 0
E6 216 2 0
G5 279 2 0
C6 279 2 1
G5 318 2 0
E6 318 2 0
B5 357 2 0
E6 357 2 0
B5 395 2 0
G6 395 2 0
A5 427 2 0
B5 439 2 0
A5 477 2 0
F6 477 2 1
E4 18 4 0
C4 99 4 0
B3 177 4 0
A3 279 4 1
B3 357 4 0
B2 439 4 0
Measure Number: 16
G5 63 2 0
B5 63 2 0
G5 100 2 0
E6 100 2 0
G5 137 2 0
B5 137 2 0
G5 174 2 0
E6 174 2 0
G5 211 2 0
B5 211 2 0
G5 248 2 0
E6 248 2 0
G5 285 2 0
B5 285 2 0
G5 322 2 0
E6 322 2 0
G5 359 2 0
B5 359 2 0
G5 396 2 0
E6 396 2 0
G5 433 2 0
B5 433 2 -1
G5 470 2 0
E6 470 2 0
E2 63 4 0
G3 137 4 0
E3 211 4 0
G4 285 8 0
D4 433 4 0
Measure Number: 17
G5 13 2 0
A5 24 2 0
G5 64 2 0
E6 64 2 0
G5 92 2 0
A5 104 2 0
G5 144 2 0
E6 144 2 0
G5 172 2 0
A5 184 2 0
G5 224 2 0
E6 224 2 0
G5 252 2 0
A5 264 2 0
G5 304 2 0
E6 304 2 0
G5 332 2 0
A5 344 2 0
G5 384 2 0
F6 384 2 0
G5 412 2 0
A5 424 2 0
G5 464 2 0
E6 464 2 0
A2 24 4 0
C4 104 2 1
E3 144 2 0
A2 184 4 0
A1 264 4 0
C4 344 2 1
E3 384 2 0
A2 424 4 0
Measure Number: 18
