Measure Number: 1
G4 128 240 0
G5 128 240 0
G4 169 240 0
G5 169 240 0
G4 211 240 0
G5 211 240 0
G4 253 240 0
G5 253 240 0
G4 305 240 0
G5 305 240 0
G4 357 240 0
G5 357 240 0
G4 253 120 0
C5 279 120 0
G4 305 120 0
C5 331 120 0
G4 357 120 0
C5 383 120 0
rest 480
rest 240
E4 253 240 0
E4 305 240 0
D4 357 240 0
Measure Number: 2
G4 17 240 0
G5 17 240 0
G4 88 240 0
G5 88 240 0
G4 159 240 0
G5 159 240 0
G4 229 240 0
G5 229 240 0
F4 300 240 0
F5 300 240 0
E4 371 240 0
E5 371 240 0
G4 17 120 0
B4 41 120 -1
C5 53 120 0
G4 88 120 0
B4 112 120 -1
C5 123 120 0
G4 159 120 0
B4 182 120 -1
C5 194 120 0
G4 229 120 0
A4 265 120 0
C5 265 120 0
F4 300 120 0
A4 336 120 0
C5 336 120 0
E4 371 120 0
A4 406 120 0
C5 406 120 0
D4 17 240 0
C4 88 240 0
rest 240
F2 229 120 0
C4 265 120 0
A3 300 120 0
C4 336 120 0
D3 371 120 0
C4 406 120 0
Measure Number: 3
E4 14 240 0
E5 14 240 0
D4 82 240 0
D5 82 240 0
C4 150 240 0
C5 150 240 0
E5 218 720 0
E4 14 120 0
G4 48 120 0
B4 48 120 0
D4 82 120 0
G4 116 120 0
B4 116 120 0
C4 150 120 0
G4 184 120 0
E4 218 120 0
G4 252 120 0
C5 252 120 0
E4 286 120 0
F4 320 120 0
C5 320 120 0
E4 355 120 0
G4 389 120 0
C5 389 120 0
G2 14 120 0
G3 48 120 0
F3 82 120 0
B3 82 120 0
G3 116 120 0
E3 150 120 0
G3 184 120 0
C3 218 120 0
G3 252 120 0
C4 286 120 0
A3 320 120 0
G3 355 120 0
rest 120
Measure Number: 4
E4 131 240 0
G5 131 240 0
G4 200 240 0
G5 200 240 0
G4 269 240 0
G5 269 240 0
G4 337 240 0
G5 337 240 0
F4 406 240 0
F5 406 240 0
E4 475 240 0
E5 475 240 0
E4 131 120 0
C5 165 120 0
G4 200 120 0
B4 222 120 -1
C5 234 120 0
G4 269 120 0
B4 291 120 -1
C5 303 120 0
G4 337 120 0
A4 372 120 0
C5 372 120 0
F4 406 120 0
A4 441 120 0
C5 441 120 0
E4 475 120 0
A4 510 120 0
C5 510 120 0
C2 131 120 0
G3 165 120 0
C4 200 120 0
D4 234 120 0
E4 269 240 0
F2 337 120 0
C4 372 120 0
A3 406 120 0
C4 441 120 0
D3 475 120 0
C4 510 120 0
Measure Number: 5
E4 14 240 0
E5 14 240 0
D4 78 240 0
D5 78 240 0
C4 143 240 0
C5 143 240 0
E5 207 720 0
E4 14 120 0
G4 46 120 0
B4 46 120 0
D4 78 120 0
G4 110 120 0
B4 110 120 0
C4 143 120 0
G4 175 120 0
E4 207 120 0
G4 239 120 0
C5 239 120 0
E4 272 120 0
F4 304 120 0
C5 304 120 0
E4 336 120 0
G4 369 120 0
C5 369 120 0
G2 14 120 0
G3 46 120 0
F3 78 120 0
B3 78 120 0
G3 110 120 0
E3 143 120 0
G3 175 120 0
C3 207 120 0
G3 239 120 0
C4 272 120 0
A3 304 120 0
G3 336 120 0
rest 120
Measure Number: 6
E4 14 240 0
E5 14 240 0
D4 78 240 0
D5 78 240 0
C4 143 240 0
C5 143 240 0
E5 207 720 0
E4 14 120 0
G4 46 120 0
B4 46 120 0
D4 78 120 0
G4 110 120 0
B4 110 120 0
C4 143 120 0
G4 175 120 0
E4 207 120 0
G4 239 120 0
C5 239 120 0
E4 272 120 0
F4 304 120 0
C5 304 120 0
E4 336 120 0
G4 369 120 0
C5 369 120 0
G2 14 120 0
G3 46 120 0
F3 78 120 0
B3 78 120 0
G3 110 120 0
E3 143 120 0
G3 175 120 0
C3 207 120 0
G3 239 120 0
C4 272 120 0
A3 304 120 0
G3 336 120 0
rest 120
Measure Number: 7
E5 116 720 0
E5 306 480 0
C5 375 240 0
E4 116 120 0
F4 145 120 0
C5 145 120 0
E4 167 120 0
G4 189 120 0
C5 189 120 0
E4 254 120 0
F4 276 120 0
C5 276 120 0
E4 306 480 0
C5 306 480 0
C3 189 360 0
C3 306 480 0
G3 306 480 0
rest 240
C4 116 120 0
A3 145 120 0
G3 167 120 0
C3 213 120 0
C4 254 120 0
A3 276 120 0
Measure Number: 8
C5 12 240 0
D5 52 240 -1
B4 91 240 0
B4 130 240 0
C5 191 240 0
F5 230 240 0
rest 480
rest 240
F2 130 240 0
C4 191 240 0
F4 191 240 0
A4 191 240 -1
A3 230 240 -1
C4 230 240 0
F4 230 240 0
Measure Number: 9
E5 14 240 0
B4 78 240 -1
D5 124 480 -1
C5 230 240 0
F5 276 240 0
F3 14 240 0
D4 78 240 -1
E4 90 240 0
G4 78 240 0
B3 124 240 -1
D4 124 240 -1
E4 136 240 0
F2 170 240 0
C4 230 240 0
F4 230 240 0
A4 230 240 -1
A3 276 240 -1
C4 276 240 0
F4 276 240 0
Measure Number: 10
E5 14 240 0
B4 75 240 -1
D5 118 240 -1
rest 240
C5 221 120 0
D5 247 120 -1
C5 274 120 0
D5 301 120 -1
F3 14 240 0
D4 75 240 -1
E4 87 240 0
G4 75 240 0
B3 118 240 -1
D4 118 240 -1
E4 129 240 0
F2 160 240 0
C4 221 240 0
F4 221 240 0
A4 221 240 -1
A3 274 240 -1
C4 274 240 0
F4 274 240 0
Measure Number: 11
E5 118 240 -1
E5 155 240 -1
E5 192 240 -1
E5 228 240 -1
D5 265 120 -1
C5 288 120 0
B4 311 120 -1
C5 334 120 0
E3 118 240 -1
C4 155 240 0
A4 155 240 -1
E3 192 240 -1
E2 228 240 -1
D4 253 240 -1
