Measure Number: 1
G4 146 2 -1
E5 146 2 -1
A4 199 2 -1
F5 199 2 0
G4 252 2 -1
E5 252 2 -1
A4 305 2 -1
F5 305 2 0
G4 358 2 -1
E5 358 2 -1
A4 411 2 -1
F5 411 2 0
F4 464 2 0
D5 464 2 -1
G4 517 2 -1
E5 517 2 -1
G4 570 2 0
E5 570 2 0
B4 623 2 -1
G5 623 2 -1
A4 676 2 -1
F5 676 2 0
F4 729 2 0
D5 729 2 -1
A1 146 2 -1
C3 199 2 0
A3 199 2 -1
E3 252 2 -1
C4 252 2 0
G3 305 2 -1
E4 305 2 -1
E3 358 2 -1
C4 358 2 0
C3 411 2 0
A3 411 2 -1
D2 464 2 -1
D3 517 2 -1
A3 517 2 -1
F3 570 2 0
D4 570 2 -1
D3 623 2 -1
A3 623 2 -1
F3 676 2 0
D4 676 2 -1
D3 729 2 -1
A3 729 2 -1
Measure Number: 2
G4 13 2 -1
F5 13 2 0
G4 65 2 -1
E5 65 2 -1
A4 118 2 -1
F5 118 2 0
G4 170 2 -1
E5 170 2 -1
A4 223 2 -1
F5 223 2 0
G4 276 2 -1
E5 276 2 -1
F4 328 2 0
D5 328 2 -1
G4 381 2 -1
E5 381 2 -1
G4 434 2 0
E5 434 2 0
B4 486 2 -1
G5 486 2 -1
A4 539 2 -1
F5 539 2 0
F4 592 2 0
D5 592 2 -1
A2 13 2 -1
C3 65 2 0
A3 65 2 -1
E3 118 2 -1
C4 118 2 0
G3 170 2 -1
E4 170 2 -1
E3 223 2 -1
C4 223 2 0
C3 276 2 0
A3 276 2 -1
D2 328 2 -1
D3 381 2 -1
A3 381 2 -1
F3 434 2 0
D4 434 2 -1
D3 486 2 -1
A3 486 2 -1
F3 539 2 0
D4 539 2 -1
D3 592 2 -1
A3 592 2 -1
Measure Number: 3
G4 130 2 0
E5 130 2 -1
A4 189 2 -1
F5 189 2 0
A4 249 2 0
F5 249 2 1
B4 309 2 -1
G5 309 2 0
C5 369 2 0
A5 369 2 -1
D5 428 2 -1
B5 428 2 -1
D5 488 2 0
B5 488 2 0
E5 548 2 -1
C6 548 2 0
E5 608 2 0
C6 608 2 1
G5 667 2 -1
E6 667 2 -1
F5 727 2 0
D6 727 2 -1
C5 787 2 0
A5 787 2 -1
E2 130 2 -1
E3 189 2 -1
D4 189 2 -1
B3 249 2 -1
E4 249 2 -1
D4 309 2 -1
G4 309 2 0
B3 369 2 -1
E4 369 2 -1
E3 428 2 -1
D4 428 2 -1
A2 488 2 -1
A3 548 2 -1
E4 548 2 -1
C4 608 2 0
A4 608 2 -1
D3 667 2 -1
F3 727 2 0
D4 727 2 -1
A3 787 2 -1
F4 787 2 0
Measure Number: 4
E5 22 2 -1
C6 22 2 0
D5 75 2 -1
B5 75 2 -1
E5 129 2 -1
C6 129 2 0
D5 182 2 -1
B5 182 2 -1
E5 235 2 -1
C6 235 2 0
D5 288 2 -1
B5 288 2 -1
C5 341 2 0
A5 341 2 -1
D5 394 2 -1
B5 394 2 -1
B4 447 2 -1
G5 447 2 -1
C5 501 2 0
A5 501 2 -1
A4 554 2 -1
F5 554 2 0
B4 607 2 -1
G5 607 2 -1
E3 22 2 -1
G3 75 2 0
E4 75 2 -1
B3 129 2 -1
G4 129 2 0
E4 182 2 -1
B4 182 2 -1
B3 235 2 -1
G4 235 2 0
G3 288 2 0
E4 288 2 -1
C4 341 2 0
A4 341 2 -1
A3 394 2 -1
F4 394 2 0
B3 447 2 -1
G4 447 2 -1
G3 501 2 -1
A3 554 2 -1
F3 607 2 0
E4 501 2 -1
F4 554 2 0
D4 607 2 -1
Measure Number: 5
G4 119 2 -1
E5 119 2 -1
A4 176 2 -1
F5 176 2 0
G4 234 2 -1
E5 234 2 -1
A4 291 2 -1
F5 291 2 0
G4 348 2 -1
E5 348 2 -1
A4 405 2 -1
F5 405 2 0
F4 463 2 0
D5 463 2 -1
G4 520 2 -1
E5 520 2 -1
G4 577 2 0
E5 577 2 0
B4 635 2 -1
G5 635 2 -1
A4 692 2 -1
F5 692 2 0
F4 749 2 0
D5 749 2 -1
A2 119 2 -1
C3 176 2 0
A3 176 2 -1
E3 234 2 -1
C4 234 2 0
G3 291 2 -1
E4 291 2 -1
E3 348 2 -1
C4 348 2 0
C3 405 2 0
A3 405 2 -1
D2 463 2 -1
D3 520 2 -1
A3 520 2 -1
F3 577 2 0
D4 577 2 -1
D3 635 2 -1
A3 635 2 -1
F3 692 2 0
D4 692 2 -1
D3 749 2 -1
A3 749 2 -1
Measure Number: 6
G4 13 2 -1
F5 13 2 0
G4 70 2 -1
E5 70 2 -1
A4 127 2 -1
F5 127 2 0
G4 184 2 -1
E5 184 2 -1
A4 242 2 -1
F5 242 2 0
G4 299 2 -1
E5 299 2 -1
F4 356 2 0
D5 356 2 -1
G4 414 2 -1
E5 414 2 -1
G4 471 2 0
E5 471 2 0
B4 528 2 -1
G5 528 2 -1
A4 585 2 -1
F5 585 2 0
F4 643 2 0
D5 643 2 -1
A2 13 2 -1
C3 70 2 0
A3 70 2 -1
