Measure Number: 1
C5 133 3 0
rest 3
Measure Number: 2
C5 14 1 0
D5 46 1 -1
B4 77 1 0
C5 109 1 0
E5 141 1 -1
D5 173 1 -1
C5 205 1 0
D5 237 1 -1
B4 268 1 0
C5 300 1 0
F5 332 1 1
G5 364 1 0
E3 14 2 0
G4 77 2 0
C4 141 2 0
B3 205 2 -1
G4 268 2 0
C4 332 2 0
Measure Number: 3
C5 14 1 0
D5 44 1 -1
B4 74 1 0
C5 103 1 0
E5 133 1 -1
D5 163 1 -1
C5 193 1 0
D5 223 1 -1
B4 253 1 0
C5 283 1 0
A5 313 1 -1
F5 343 1 0
F3 14 2 0
A4 74 2 -1
C4 133 2 0
A3 193 2 -1
A4 253 2 -1
C4 313 2 0
Measure Number: 4
E5 14 1 0
F5 50 1 0
E5 86 1 0
D5 123 1 1
E5 159 1 0
G5 196 1 0
B5 232 1 -1
C6 268 1 0
B5 305 1 -1
A5 341 1 0
B5 377 1 -1
D6 414 1 -1
G3 14 2 0
B4 86 2 -1
E4 159 2 0
D4 232 2 -1
B4 305 2 -1
E4 377 2 0
Measure Number: 5
C6 122 1 0
D6 162 1 -1
C6 203 1 0
B5 243 1 0
C6 283 1 0
G5 324 1 0
A5 364 1 -1
B5 404 1 -1
A5 445 1 -1
G5 485 1 0
A5 526 1 -1
E5 566 1 0
A3 122 2 -1
A4 203 2 -1
F4 283 2 0
C4 364 2 0
A4 445 2 -1
F4 526 2 0
Measure Number: 6
F5 10 1 0
G5 46 1 0
F5 82 1 0
E5 119 1 0
F5 155 1 0
C5 192 1 0
D5 228 1 -1
E5 265 1 -1
D5 301 1 -1
C5 337 1 0
D5 374 1 -1
B4 410 1 0
B2 10 2 -1
D4 82 2 -1
G3 155 2 0
F3 228 2 0
D4 301 2 -1
G3 374 2 0
Measure Number: 7
C5 10 1 0
D5 45 1 -1
C5 80 1 0
B4 115 1 0
C5 151 1 0
G4 186 1 0
A4 221 1 -1
B4 257 1 -1
A4 292 1 -1
G4 327 1 0
A4 363 1 -1
F4 398 1 0
C3 10 2 0
C4 80 2 0
A3 151 2 -1
F3 221 2 0
C4 292 2 0
A3 363 2 -1
Measure Number: 8
E4 118 1 0
G4 157 1 0
B4 195 1 -1
D5 234 1 -1
E5 272 1 0
G5 311 1 0
B5 350 1 -1
D6 388 1 -1
C6 427 1 0
B5 465 1 -1
A5 504 1 -1
G5 543 1 0
C3 118 2 0
E4 195 2 0
B3 272 2 -1
G3 350 2 0
E4 427 2 0
B3 504 2 -1
Measure Number: 9
B5 13 1 -1
C6 50 1 0
A5 87 1 -1
G5 125 1 0
A5 162 1 -1
F5 199 1 0
E5 236 1 0
G5 273 1 0
F5 311 1 0
E5 348 1 0
F5 385 1 0
D5 422 1 -1
F3 13 2 0
