Measure Number: 1
F4 118 4 1
E4 171 4 1
F4 225 4 1
G4 278 4 0
G4 332 4 1
A4 385 4 0
G4 439 4 1
F4 492 4 2
G4 546 4 1
A4 599 4 0
A4 653 4 1
B4 707 4 0
F3 118 4 1
E3 171 4 1
F3 225 4 1
G3 278 4 0
G3 332 4 1
A3 385 4 0
G3 439 4 1
F3 492 4 2
G3 546 4 1
A3 599 4 0
A3 653 4 1
B3 707 4 0
F1 118 4 1
F2 118 4 1
E1 171 4 1
E2 171 4 1
F1 225 4 1
F2 225 4 1
G1 278 4 0
G2 278 4 0
G1 332 4 1
G2 332 4 1
A1 385 4 0
A2 385 4 0
G1 439 4 1
G2 439 4 1
F1 492 4 2
F2 492 4 2
G1 546 4 1
G2 546 4 1
A1 599 4 0
A2 599 4 0
A1 653 4 1
A2 653 4 1
B1 707 4 0
B2 707 4 0
Measure Number: 2
A4 24 4 1
G4 77 4 2
A4 131 4 1
B3 185 4 0
B4 185 4 0
B3 238 4 1
B4 238 4 1
C4 292 4 1
C5 292 4 1
B3 345 4 1
B4 345 4 1
A3 399 4 2
A4 399 4 2
B3 452 4 1
B4 452 4 1
C4 506 4 1
C5 506 4 1
D4 559 4 0
D5 559 4 0
D4 613 4 1
D5 613 4 1
A3 24 4 1
G3 77 4 2
A3 131 4 1
A1 24 4 1
A2 24 4 1
G1 77 4 2
G2 77 4 2
A1 131 4 1
A2 131 4 1
B1 185 4 0
B2 185 4 0
B1 238 4 1
B2 238 4 1
C2 292 4 1
C3 292 4 1
B1 345 4 1
B2 345 4 1
A1 399 4 2
A2 399 4 2
B1 452 4 1
B2 452 4 1
C2 506 4 1
C3 506 4 1
D2 559 4 0
D3 559 4 0
D2 613 4 1
D3 613 4 1
Measure Number: 3
C4 108 4 2
C5 108 4 2
D4 147 4 1
D5 147 4 1
E4 186 4 0
E5 186 4 0
D4 225 4 1
D5 225 4 1
E4 264 4 0
E5 264 4 0
F4 303 4 0
F5 303 4 0
E4 342 4 0
E5 342 4 0
E4 381 4 1
E5 381 4 1
F4 420 4 1
F5 420 4 1
E4 459 4 1
E5 459 4 1
F4 498 4 1
F5 498 4 1
G4 537 4 0
G5 537 4 0
C2 108 4 2
C3 108 4 2
D2 147 4 1
D3 147 4 1
E2 186 4 0
E3 186 4 0
D2 225 4 1
D3 225 4 1
E2 264 4 0
E3 264 4 0
F2 303 4 0
F3 303 4 0
E2 342 4 0
E3 342 4 0
E2 381 4 1
E3 381 4 1
F2 420 4 1
F3 420 4 1
E2 459 4 1
E3 459 4 1
F2 498 4 1
F3 498 4 1
G2 537 4 0
G3 537 4 0
Measure Number: 4
F4 13 4 1
F5 13 4 1
F4 48 4 2
F5 48 4 2
G4 84 4 1
G5 84 4 1
F4 119 4 2
F5 119 4 2
G4 155 4 1
G5 155 4 1
A4 190 4 0
A5 190 4 0
F4 226 4 2
F5 226 4 2
G4 261 4 1
G5 261 4 1
A4 297 4 0
A5 297 4 0
G4 332 4 1
G5 332 4 1
A4 368 4 0
A5 368 4 0
A4 403 4 1
A5 403 4 1
F2 13 4 1
F3 13 4 1
F2 48 4 2
F3 48 4 2
G2 84 4 1
G3 84 4 1
F2 119 4 2
F3 119 4 2
G2 155 4 1
G3 155 4 1
A2 190 4 0
A3 190 4 0
F2 226 4 2
F3 226 4 2
G2 261 4 1
G3 261 4 1
A2 297 4 0
A3 297 4 0
G2 332 4 1
G3 332 4 1
A2 368 4 0
A3 368 4 0
A2 403 4 1
A3 403 4 1
Measure Number: 5
B4 16 4 0
B5 16 4 0
A4 57 4 1
A5 57 4 1
B4 96 4 0
B5 96 4 0
A4 136 4 1
A5 136 4 1
A4 175 4 0
A5 175 4 0
G4 214 4 1
G5 214 4 1
A4 254 4 0
A5 254 4 0
G4 293 4 1
G5 293 4 1
A4 332 4 0
A5 332 4 0
G4 371 4 1
G5 371 4 1
G4 411 4 0
G5 411 4 0
F4 450 4 1
F5 450 4 1
D5 20 24 0
D5 258 24 0
B2 16 4 0
B3 16 4 0
A2 57 4 1
